coincidences discrepancies reprod_index
7569647 207 0 1
7528206 208 0 1
7572433 206 0 1
7547430 213 0 1
7601732 201 0 1
7558678 204 0 1
7623639 204 0 1
7601381 203 0 1
7561954 201 0 1
7529373 202 0 1
7571467 188 0 1
7570516 209 0 1
7568850 213 0 1
7551108 213 0 1
7528980 210 0 1
7540851 211 0 1
7532507 207 0 1
7547832 213 0 1
7573758 200 0 1
7555967 203 0 1
7527943 213 0 1
7559451 211 0 1
7541199 209 0 1
7559983 209 0 1
7554557 202 0 1
7565929 218 0 1
7557171 202 0 1
7568048 207 0 1
7565446 211 0 1
7573210 208 0 1
7574957 204 0 1
7526121 201 0 1
7566748 209 0 1
7540700 213 0 1
7540727 203 0 1
7613319 215 0 1
7570654 203 0 1
7551779 214 0 1
7562485 193 0 1
7529964 207 0 1
7529970 205 0 1
7570879 205 0 1
7542261 209 0 1
7530319 205 0 1
7539468 197 0 1
7560441 206 0 1
7600840 211 0 1
7539623 194 0 1
7537885 203 0 1
7567082 209 0 1
7573109 208 0 1
7555663 215 0 1
7533981 203 0 1
7570232 198 0 1
7554018 205 0 1
7531359 203 0 1
7527320 205 0 1
7564989 208 0 1
7551862 209 0 1
7554775 197 0 1
7569492 210 0 1
7531587 209 0 1
7553199 207 0 1
7528641 197 0 1
7562440 205 0 1
7551210 214 0 1
7550720 215 0 1
7530027 205 0 1
7540417 183 0 1
7530996 194 0 1
7530042 211 0 1
7543291 207 0 1
7551583 207 0 1
7539219 200 0 1
7546779 204 0 1
7567295 209 0 1
7540567 224 0 1
7531839 213 0 1
7571500 204 0 1
7557503 206 0 1
7545395 208 0 1
7565666 208 0 1
7545046 208 0 1
7526686 199 0 1
7540334 202 0 1
7542404 212 0 1
7533461 208 0 1
7575050 203 0 1
7530062 217 0 1
7544790 202 0 1
7561744 208 0 1
7563701 208 0 1
7565126 198 0 1
7575194 199 0 1
7526168 207 0 1
7539202 204 0 1
7526613 205 0 1
7525920 191 0 1
7544494 215 0 1
7571673 191 0 1
7569625 203 0 1
7539986 196 0 1
7527641 214 0 1
7527876 216 0 1
7544221 200 0 1
7538697 198 0 1
7526494 209 0 1
7530191 213 0 1
7564501 213 0 1
7602382 213 0 1
7561109 212 0 1
7531446 214 0 1
7573031 204 0 1
7557540 206 0 1
7531208 202 0 1
7527197 204 0 1
7599342 205 0 1
7547601 215 0 1
7557039 215 0 1
7571381 196 0 1
7532748 207 0 1
7540471 209 0 1
7548348 201 0 1
7565922 205 0 1
7572003 196 0 1
7537950 213 0 1
7527233 199 0 1
7546016 200 0 1
7545174 216 0 1
7546780 208 0 1
7551333 208 0 1
7600094 211 0 1
7530514 210 0 1
7531413 207 0 1
7564880 208 0 1
7526733 212 0 1
7533600 206 0 1
7625602 198 0 1
7558922 207 0 1
7531184 202 0 1
7572323 214 0 1
7557409 201 0 1
7570114 202 0 1
7559606 205 0 1
7570891 199 0 1
7544820 208 0 1
7540967 193 0 1
7573770 214 0 1
7569591 204 0 1
7543521 209 0 1
7539465 199 0 1
7551153 214 0 1
7545856 210 0 1
7526844 207 0 1
7531324 210 0 1
7530957 205 0 1
7546983 200 0 1
7545851 205 0 1
7545522 214 0 1
7622591 205 0 1
7539173 197 0 1
7539514 207 0 1
7566214 198 0 1
7545521 207 0 1
7626080 204 0 1
7525917 207 0 1
7531981 201 0 1
7549966 211 0 1
7548125 207 0 1
7547320 218 0 1
7572274 193 0 1
7526248 197 0 1
7563962 199 0 1
7528531 211 0 1
7573788 208 0 1
7573424 199 0 1
7543942 196 0 1
7572160 209 0 1
7532569 204 0 1
7528053 202 0 1
7550591 212 0 1
7530559 207 0 1
7526726 204 0 1
7541933 217 0 1
7539970 210 0 1
7534535 210 0 1
7529068 212 0 1
7573213 215 0 1
7599504 212 0 1
7539491 209 0 1
7548784 214 0 1
7572915 196 0 1
7569722 201 0 1
7539227 206 0 1
